time,open,high,low,close,volume
2021-02-21 23:59:59.999,1910.96000000,1976.00000000,1884.53000000,1933.91000000,4397.00703000
2021-02-22 23:59:59.999,1933.91000000,1936.18000000,1530.59000000,1777.54000000,11529.07634000
2021-02-23 23:59:59.999,1777.54000000,1782.46000000,1357.03000000,1577.92000000,16245.14593000
2021-02-24 23:59:59.999,1579.26000000,1711.73000000,1502.81000000,1624.95000000,6179.07491000
2021-02-25 23:59:59.999,1623.20000000,1670.19000000,1459.27000000,1480.83000000,3292.06202000
2021-02-26 23:59:59.999,1482.70000000,1561.74000000,1401.00000000,1441.77000000,5365.48627000
2021-02-27 23:59:59.999,1446.48000000,1528.38000000,1425.71000000,1457.62000000,3792.41360000
2021-02-28 23:59:59.999,1455.35000000,1466.57000000,1293.47000000,1419.49000000,7282.23125000
2021-03-01 23:59:59.999,1420.49000000,1571.41000000,1410.56000000,1569.36000000,4032.56546000
2021-03-02 23:59:59.999,1570.89000000,1604.41000000,1455.98000000,1485.47000000,3825.75527000
2021-03-03 23:59:59.999,1484.99000000,1655.09000000,1477.31000000,1567.90000000,5513.08006000
2021-03-04 23:59:59.999,1567.79000000,1624.60000000,1502.68000000,1539.41000000,6154.40656000
2021-03-05 23:59:59.999,1535.44000000,1549.53000000,1442.10000000,1527.89000000,10414.79175000
2021-03-06 23:59:59.999,1529.36000000,1671.71000000,1514.50000000,1650.00000000,9629.42169000
2021-03-07 23:59:59.999,1652.69000000,1734.64000000,1631.57000000,1728.27000000,8633.01598000
2021-03-08 23:59:59.999,1730.05000000,1841.69000000,1665.94000000,1834.61000000,8470.97626000
2021-03-09 23:59:59.999,1834.61000000,1870.82000000,1800.90000000,1870.82000000,13838.62044000
2021-03-10 23:59:59.999,1871.68000000,1919.63000000,1744.86000000,1799.03000000,15643.87305000
2021-03-11 23:59:59.999,1795.89000000,1865.00000000,1725.12000000,1826.07000000,7933.37631000
2021-03-12 23:59:59.999,1826.87000000,1841.43000000,1721.01000000,1765.33000000,12321.56498000
2021-03-13 23:59:59.999,1767.30000000,1949.41000000,1729.48000000,1921.42000000,4338.44135000
2021-03-14 23:59:59.999,1921.39000000,1933.09000000,1836.96000000,1854.21000000,2622.01071000
2021-03-15 23:59:59.999,1849.85000000,1890.68000000,1733.56000000,1794.00000000,4290.09446000
2021-03-16 23:59:59.999,1793.94000000,1817.98000000,1712.68000000,1806.60000000,3866.30424000
2021-03-17 23:59:59.999,1805.59000000,1838.67000000,1742.25000000,1822.88000000,3496.01226000
2021-03-18 23:59:59.999,1825.00000000,1849.77000000,1759.83000000,1775.42000000,3580.38675000
2021-03-19 23:59:59.999,1776.39000000,1839.68000000,1734.64000000,1808.62000000,2102.03920000
2021-03-20 23:59:59.999,1810.05000000,1868.63000000,1801.29000000,1802.94000000,1420.08634000
2021-03-21 23:59:59.999,1806.89000000,1816.85000000,1745.64000000,1781.59000000,1583.19886000
2021-03-22 23:59:59.999,1784.59000000,1807.25000000,1655.59000000,1682.97000000,2723.73052000
2021-03-23 23:59:59.999,1680.81000000,1721.44000000,1652.17000000,1669.66000000,2121.15703000
2021-03-24 23:59:59.999,1671.13000000,1740.42000000,1543.73000000,1584.26000000,3333.51938000
2021-03-25 23:59:59.999,1582.98000000,1622.63000000,1549.12000000,1589.14000000,2771.41195000
2021-03-26 23:59:59.999,1589.63000000,1700.03000000,1589.63000000,1699.29000000,2654.60681000
2021-03-27 23:59:59.999,1699.29000000,1732.92000000,1665.85000000,1713.45000000,1860.77438000
2021-03-28 23:59:59.999,1715.04000000,1725.03000000,1661.28000000,1689.09000000,1843.79618000
2021-03-29 23:59:59.999,1686.32000000,1840.71000000,1678.10000000,1816.97000000,2803.39660000
2021-03-30 23:59:59.999,1816.67000000,1859.03000000,1787.88000000,1840.84000000,2070.00086000
2021-03-31 23:59:59.999,1840.98000000,1946.60000000,1771.09000000,1916.27000000,3372.65137000
2021-04-01 23:59:59.999,1920.93000000,1984.58000000,1885.19000000,1967.55000000,4001.48604000
2021-04-02 23:59:59.999,1967.64000000,2145.24000000,1948.82000000,2135.37000000,5598.31698000
2021-04-03 23:59:59.999,2135.37000000,2138.79000000,2001.93000000,2010.35000000,6929.18576000
2021-04-04 23:59:59.999,2008.70000000,2092.75000000,1976.47000000,2076.94000000,3627.79751000
2021-04-05 23:59:59.999,2075.04000000,2132.46000000,2002.45000000,2108.11000000,3980.78079000
2021-04-06 23:59:59.999,2108.71000000,2151.17000000,2046.07000000,2111.75000000,3899.70081000
2021-04-07 23:59:59.999,2113.98000000,2129.08000000,1931.82000000,1964.80000000,5986.36911000
2021-04-08 23:59:59.999,1963.61000000,2084.28000000,1948.32000000,2079.70000000,2760.30060000
2021-04-09 23:59:59.999,2080.42000000,2100.59000000,2048.98000000,2067.63000000,1585.83105000
2021-04-10 23:59:59.999,2067.35000000,2198.51000000,2058.35000000,2134.03000000,2797.01228000
2021-04-11 23:59:59.999,2137.57000000,2164.42000000,1521.60000000,2150.18000000,2513.27177000
2021-04-12 23:59:59.999,2150.82000000,2201.46000000,2103.16000000,2137.27000000,3757.16513000
2021-04-13 23:59:59.999,2138.75000000,2317.38000000,2137.02000000,2299.51000000,4957.72014000
2021-04-14 23:59:59.999,2301.82000000,2447.56000000,2281.89000000,2431.93000000,7993.87073000
2021-04-15 23:59:59.999,2435.40000000,2543.18000000,2399.66000000,2513.89000000,5129.20316000
2021-04-16 23:59:59.999,2514.27000000,2547.20000000,2300.79000000,2424.38000000,10038.56221000
2021-04-17 23:59:59.999,2426.37000000,2495.78000000,2313.75000000,2318.52000000,5361.01020000
2021-04-18 23:59:59.999,2317.82000000,2339.27000000,1902.84000000,2235.73000000,14721.50960000
2021-04-19 23:59:59.999,2237.42000000,2277.75000000,2079.20000000,2160.50000000,7823.89473000
2021-04-20 23:59:59.999,2162.94000000,2346.00000000,2052.14000000,2330.39000000,10391.63370000
2021-04-21 23:59:59.999,2330.92000000,2468.62000000,2236.60000000,2356.67000000,9550.03695000
2021-04-22 23:59:59.999,2358.39000000,2644.69000000,2250.00000000,2398.49000000,19255.42312000
2021-04-23 23:59:59.999,2397.78000000,2442.66000000,2100.00000000,2364.93000000,25396.72448000
2021-04-24 23:59:59.999,2365.91000000,2365.91000000,2157.26000000,2214.89000000,9697.25314000
2021-04-25 23:59:59.999,2214.52000000,2356.49000000,2164.87000000,2319.93000000,10756.44906000
2021-04-26 23:59:59.999,2319.98000000,2543.00000000,2304.51000000,2533.71000000,9826.53218000
2021-04-27 23:59:59.999,2533.71000000,2679.54000000,2481.11000000,2666.17000000,6311.18081000
2021-04-28 23:59:59.999,2666.17000000,2759.51000000,2560.59000000,2747.44000000,9367.78294000
2021-04-29 23:59:59.999,2749.64000000,2798.00000000,2668.50000000,2757.50000000,6802.13877000
2021-04-30 23:59:59.999,2757.49000000,2797.49000000,2725.10000000,2773.94000000,4497.65251000
2021-05-01 23:59:59.999,2773.37000000,2954.43000000,2754.42000000,2945.37000000,6301.24992000
2021-05-02 23:59:59.999,2945.58000000,2984.73000000,2853.87000000,2950.16000000,4472.49554000
2021-05-03 23:59:59.999,2950.80000000,3454.24000000,2950.66000000,3429.21000000,12413.43062000
2021-05-04 23:59:59.999,3434.81000000,3526.71000000,3160.14000000,3239.69000000,23163.51404000
2021-05-05 23:59:59.999,3239.42000000,3546.00000000,3210.00000000,3523.55000000,13488.97396000
2021-05-06 23:59:59.999,3525.64000000,3606.29000000,3376.93000000,3490.59000000,10809.45207000
2021-05-07 23:59:59.999,3493.72000000,3586.95000000,3353.76000000,3479.39000000,7038.52464000
2021-05-08 23:59:59.999,3484.86000000,3963.89000000,3450.90000000,3910.01000000,8609.36426000
2021-05-09 23:59:59.999,3910.78000000,3982.99000000,3729.65000000,3924.21000000,10542.13064000
2021-05-10 23:59:59.999,3926.89000000,4205.53000000,3601.00000000,3948.34000000,14775.34146000
2021-05-11 23:59:59.999,3944.14000000,4179.15000000,3772.68000000,4169.87000000,10318.01206000
2021-05-12 23:59:59.999,4174.34000000,4375.04000000,3735.31000000,3821.67000000,15809.90948000
2021-05-13 23:59:59.999,3811.71000000,4034.34000000,3452.10000000,3718.01000000,19526.78498000
2021-05-14 23:59:59.999,3718.32000000,4174.29000000,3693.12000000,4074.03000000,9974.75377000
2021-05-15 23:59:59.999,4075.27000000,4133.30000000,3633.21000000,3645.95000000,8501.51732000
2021-05-16 23:59:59.999,3647.15000000,3879.00000000,3100.00000000,3582.24000000,12903.60069000
2021-05-17 23:59:59.999,3582.48000000,3587.10000000,3118.98000000,3282.28000000,16342.09326000
2021-05-18 23:59:59.999,3282.35000000,3563.42000000,3241.14000000,3374.97000000,11207.37939000
2021-05-19 23:59:59.999,3374.76000000,3441.16000000,1900.00000000,2436.58000000,30623.62552000
2021-05-20 23:59:59.999,2437.18000000,3000.00000000,2150.00000000,2767.44000000,25782.42626000
2021-05-21 23:59:59.999,2767.17000000,2937.68000000,2100.00000000,2430.40000000,23509.17417000
2021-05-22 23:59:59.999,2431.34000000,2484.96000000,2153.50000000,2294.51000000,21816.07794000
2021-05-23 23:59:59.999,2296.05000000,2380.75000000,1730.50000000,2096.32000000,28990.51321000
2021-05-24 23:59:59.999,2096.32000000,2675.14000000,2080.00000000,2647.68000000,18040.10746000
2021-05-25 23:59:59.999,2647.71000000,2749.76000000,2380.69000000,2704.51000000,19005.82794000
2021-05-26 23:59:59.999,2705.52000000,2909.97000000,2643.02000000,2885.41000000,14126.89676000
2021-05-27 23:59:59.999,2884.78000000,2889.26000000,2634.66000000,2741.70000000,8544.21733000
2021-05-28 23:59:59.999,2741.44000000,2760.73000000,2328.22000000,2411.90000000,12321.95757000
2021-05-29 23:59:59.999,2411.35000000,2574.02000000,2206.31000000,2278.27000000,12220.69015000
2021-05-30 23:59:59.999,2278.34000000,2477.03000000,2177.92000000,2386.47000000,9900.96432000
2021-05-31 23:59:59.999,2384.55000000,2719.99000000,2272.51000000,2704.95000000,11160.16300000
2021-06-01 23:59:59.999,2704.97000000,2739.30000000,2527.00000000,2634.49000000,11255.81269000
2021-06-02 23:59:59.999,2634.64000000,2802.93000000,2551.66000000,2706.86000000,6655.14936000
2021-06-03 23:59:59.999,2703.30000000,2891.50000000,2662.94000000,2855.80000000,7007.00610000
2021-06-04 23:59:59.999,2857.01000000,2859.64000000,2546.00000000,2687.84000000,8277.24865000
2021-06-05 23:59:59.999,2690.52000000,2816.52000000,2552.27000000,2628.89000000,7686.21136000
2021-06-06 23:59:59.999,2622.30000000,2743.66000000,2613.49000000,2711.42000000,4871.67640000
2021-06-07 23:59:59.999,2711.65000000,2847.21000000,2570.00000000,2594.57000000,8441.32630000
